date,ASML,NVDA,INTC,AMD,ARM,AMZN,AAPL,NET,MSFT,JPM,SPY,GS,MS,UBS,LMT,RTX,GE,BA,GD,PEP,KO,BATS.LON,SHEL.LON,USDEUR,ASML_USD_EUR,NVDA_USD_EUR,INTC_USD_EUR,AMD_USD_EUR,ARM_USD_EUR,AMZN_USD_EUR,AAPL_USD_EUR,NET_USD_EUR,MSFT_USD_EUR,JPM_USD_EUR,SPY_USD_EUR,GS_USD_EUR,MS_USD_EUR,UBS_USD_EUR,LMT_USD_EUR,RTX_USD_EUR,GE_USD_EUR,BA_USD_EUR,GD_USD_EUR,PEP_USD_EUR,KO_USD_EUR,GBPEUR,BATS.LON_GBP_EUR,SHEL.LON_GBP_EUR
2025-10-27,1058.13807848165,191.49,39.54,259.67,178.62,226.97,268.550848381475,225.11,530.510939208078,304.15,685.24,789.99,165.013818181818,38.6,486.91,178.524555059873,312.84,223.0,353.77,152.63,70.06,39.11,28.05592,0.8586,908.5173541843446,164.413314,33.949044,222.95266200000003,153.363132,194.876442,230.57775842033445,193.279446,455.49669240405575,261.14319,588.347064,678.2854140000001,141.68086429090894,33.141960000000005,418.06092600000005,153.28118297440696,268.604424,191.4678,303.746922,131.048118,60.153516,1.14494,44.7786034,32.1223450448
2025-10-24,1031.3047877124,186.26,38.28,252.92,170.68,224.21,262.566623159924,217.85,522.615955897693,300.44,677.25,783.88,162.866909090909,38.02,485.41,177.936910072787,303.87,221.35,350.77,151.55,69.71,39.0,28.244148,0.8601,887.0252479114351,160.202226,32.924628,217.53649199999998,146.801868,192.843021,225.83355257985062,187.372785,449.5019836676057,258.408444,582.5027249999999,674.215188,140.08182850909083,32.701002,417.501141,153.04353635360408,261.358587,190.38313499999998,301.697277,130.34815500000002,59.957570999999994,1.14471,44.64368999999999,32.331358657079996
2025-10-23,1034.60903594329,182.16,38.16,234.99,166.6,221.09,259.329746746264,217.16,519.571746150957,294.54,671.76,750.78,158.344484848485,38.22,488.05,178.723756750411,306.39,217.77,341.5,151.51,69.94,38.63,28.140128,0.8607,890.4879972363898,156.785112,32.844311999999995,202.25589300000001,143.39262,190.29216300000002,223.20511302450942,186.909612,447.19540191212866,253.510578,578.183832,646.196346,136.28709810909103,32.895954,420.064635,153.82753743507877,263.709873,187.434639,293.92905,130.404657,60.197358,1.1468,44.300884,32.2710987904
2025-10-22,1009.80720896554,180.28,36.92,230.23,165.71,217.95,258.200836145204,210.73,519.551784119831,294.11,667.8,744.6,157.161696969697,38.06,487.14,177.269584409486,297.89,216.59,338.24,153.03,70.81,38.08,27.352541000000002,0.8613,869.7469490820196,155.275164,31.799196,198.29709899999997,142.726023,187.72033499999998,222.38838017186418,181.501749,447.4899516624105,253.316943,575.1761399999999,641.32398,135.36336960000003,32.781078,419.57368199999996,152.68229305189027,256.572657,186.548967,291.32611199999997,131.80473899999998,60.988653,1.15027,43.80228159999999,31.46280733607
2025-10-21,1023.23882828474,181.16,38.12,238.03,169.38,222.03,262.516671363417,212.98,516.677251637668,297.09,671.29,758.98,158.26496969697,37.56,489.5,172.349302653205,306.63,217.26,340.69,153.18,71.22,37.33,26.916644,0.862,882.0318699814459,156.15992,32.85944,205.18186,146.00556,191.38986,226.28937071526545,183.58875999999998,445.37579091166975,256.09157999999996,578.65198,654.24076,136.42440387878815,32.37672,421.949,148.5650988870627,264.31506,187.27812,293.67478,132.04116,61.391639999999995,1.15215,43.0097595,31.0120113846
2025-10-20,1040.33906157631,182.64,38.1,240.56,171.5,216.48,261.987182320442,213.04,515.808903283682,302.36,671.3,763.32,160.988363636364,38.36,505.9,160.068518431557,302.68,216.82,337.19,153.64,68.44,38.0,26.857203,0.8589,893.5472199878927,156.869496,32.724090000000004,206.616984,147.30135,185.93467199999998,225.02079089502763,182.980056,443.0282670303544,259.697004,576.57957,655.615548,138.27290552727302,32.947404,434.51750999999996,137.48285048086433,259.971852,186.226698,289.612491,131.96139599999998,58.783116,1.15127,43.74826,30.91989209781
2025-10-17,1027.48144308271,183.22,37.01,233.08,165.61,213.04,252.046774815529,210.01,512.604997287938,297.56,664.39,750.77,157.708363636364,38.49,495.15,157.319535102137,300.14,212.94,331.15,153.71,68.44,38.35,26.659068,0.8582,881.7845744535817,157.23940399999998,31.761981999999996,200.029256,142.12650200000002,182.83092799999997,216.30654214668698,180.230582,439.9176086725084,255.36599199999998,570.179498,644.3108139999999,135.3453176727276,33.032118,424.93773,135.01162502465397,257.58014799999995,182.745108,284.19293,131.913922,58.73520799999999,1.15205,44.1811175,30.7125792894
2025-10-16,1017.8182639664,181.81,36.84,234.56,171.19,214.47,247.211440913642,211.4,510.638737222014,298.54,660.64,758.09,159.050181818182,38.87,493.25,156.423127494717,299.84,211.89,330.59,152.67,67.59,38.22,26.51542,0.8556,870.8453066496519,155.556636,31.520304000000003,200.689536,146.470164,183.500532,211.51410884571212,180.87384,436.9025035671552,255.43082400000003,565.243584,648.621804,136.08333556363652,33.257172,422.0247,133.83562788447986,256.54310399999997,181.293084,282.852804,130.624452,57.830004,1.14907,43.9174554,30.468073659399998
2025-10-15,1008.05525861956,179.83,37.15,238.6,170.67,215.57,249.09961882161,217.38,512.455282054491,305.69,665.17,767.93,161.664242424242,39.08,499.41,156.373327072083,300.12,214.0,332.04,151.16,67.08,37.96,26.664022,0.8585,865.4154395248923,154.38405500000002,31.893275,204.8381,146.520195,185.066845,213.85202275835218,186.62073,439.94285964378054,262.434865,571.048445,659.267905,138.78875212121176,33.55018,428.743485,134.24650129138325,257.65302,183.71900000000002,285.05634000000003,129.77086,57.58818,1.15048,43.6722208,30.676424030559996
2025-10-14,981.471533426659,180.03,35.63,218.09,168.16,216.39,247.531132411287,217.55,512.595016272375,302.08,662.23,770.76,154.398545454545,39.99,505.18,158.763747358535,300.08,214.3,335.5,151.54,67.51,38.29,26.609534,0.8615,845.5377260470667,155.095845,30.695245000000003,187.884535,144.86984,186.419985,213.24807057232374,187.41932500000001,441.6006065186511,260.24192,570.511145,664.0097400000001,133.01434690909053,34.451385,435.21257,136.7749683493779,258.51892,184.61945000000003,289.03325,130.55170999999999,58.15986500000001,1.14717,43.9251393,30.525659118780002
